route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
11274.,198,,IC 726 NAPFÉNY,,2,,,
11275.,198,,IC 726 NAPFÉNY,,2,,,
11276.,198,,IC 726 NAPFÉNY,,2,,,
11277.,198,,IC 726 NAPFÉNY,,2,,,
11278.,198,,IC 726 NAPFÉNY,,2,,,
11279.,198,,IC 708 NAPFÉNY,,2,,,
1128.,198,Z72,,,2,,3C3C3C,FFCD28
11280.,198,,IC 708 NAPFÉNY,,2,,,
11281.,198,,IC 1688 TOKAJ,,2,,,
11281.1,198,,ICB 1688 TOKAJ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11282.,198,S70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11282.1,198,S70,,,2,,00AFF0,FFFFFF
11283.,198,S70,,,2,,00AFF0,FFFFFF
11285.,198,S70,,,2,,00AFF0,FFFFFF
11286.,198,S70,,,2,,00AFF0,FFFFFF
11287.,198,S70,,,2,,00AFF0,FFFFFF
11288.,198,S70,,,2,,00AFF0,FFFFFF
11289.,198,S70,,,2,,00AFF0,FFFFFF
1129.,198,Z72,,,2,,3C3C3C,FFCD28
11290.,198,S70,,,2,,00AFF0,FFFFFF
11292.,198,S70,,,2,,00AFF0,FFFFFF
11293.,198,S70,,,2,,00AFF0,FFFFFF
11294.,198,S70,,,2,,00AFF0,FFFFFF
11295.,198,S70,,,2,,00AFF0,FFFFFF
11296.,198,S70,,,2,,00AFF0,FFFFFF
11297.,198,S70,,,2,,00AFF0,FFFFFF
11298.,198,S70,,,2,,00AFF0,FFFFFF
1130.,198,Z72,,,2,,3C3C3C,FFCD28
11300.,198,S70,,,2,,00AFF0,FFFFFF
11301.,198,S70,,,2,,00AFF0,FFFFFF
11302.,198,S70,,,2,,00AFF0,FFFFFF
11303.,198,Z70,,,2,,FFCD28,3C3C3C
11304.,198,Z70,,,2,,FFCD28,3C3C3C
11305.,198,Z70,,,2,,FFCD28,3C3C3C
11306.,198,Z70,,,2,,FFCD28,3C3C3C
11307.,198,Z70,,,2,,FFCD28,3C3C3C
11308.,198,Z70,,,2,,FFCD28,3C3C3C
11309.,198,Z70,,,2,,FFCD28,3C3C3C
1131.,198,Z72,,,2,,3C3C3C,FFCD28
11310.,198,Z70,,,2,,FFCD28,3C3C3C
11311.,198,Z70,,,2,,FFCD28,3C3C3C
11312.,198,Z70,,,2,,FFCD28,3C3C3C
11313.,198,Z70,,,2,,FFCD28,3C3C3C
11314.,198,Z70,,,2,,FFCD28,3C3C3C
11315.,198,Z70,,,2,,FFCD28,3C3C3C
11316.,198,Z70,,,2,,FFCD28,3C3C3C
11317.,198,Z70,,,2,,FFCD28,3C3C3C
11318.,198,Z70,,,2,,FFCD28,3C3C3C
1132.,198,Z72,,,2,,3C3C3C,FFCD28
11323.,198,S70,,,2,,00AFF0,FFFFFF
11324.,198,S70,,,2,,00AFF0,FFFFFF
11325.,198,S70,,,2,,00AFF0,FFFFFF
11326.,198,S70,,,2,,00AFF0,FFFFFF
